 kvkey |             kvts              |                 kvname                 |             kvvalue              |   kvseq   | kvpvmi |        kvpvname        | kvro |  kvmotion  |           kvmd2cmd           | kvstn | kvdbrtype |  kvnotify   
  6275 | 2011-07-18 09:11:24.520242-05 | stns.2.appz.presets.0.canTune          | 1                                |   4195155 |        |                        | t    |            |                              |     2 |         6 | {}
  6265 | 2011-07-18 09:11:24.520242-05 | stns.2.appz.presets.0.name             | In                               |   4195155 |        |                        | t    |            |                              |     2 |         0 | {id21e_kvs}
  6270 | 2011-07-18 09:11:24.520242-05 | stns.2.appz.presets.0.position         | 80                               |   4195155 |        |                        | t    |            |                              |     2 |         6 | {id21e_kvs}
  6300 | 2011-07-18 09:11:24.520242-05 | stns.2.appz.presets.1.canTune          | 0                                |   4195155 |        |                        | t    |            |                              |     2 |         6 | {}
  6301 | 2011-07-18 09:11:24.520242-05 | stns.2.appz.presets.1.name             | Out                              |   4195155 |        |                        | t    |            |                              |     2 |         0 | {id21e_kvs}
  6257 | 2011-07-18 09:11:24.520242-05 | stns.2.appz.presets.1.position         | 71.777                           |   4195155 |        |                        | t    |            |                              |     2 |         6 | {id21e_kvs}
  6333 | 2011-07-18 09:11:24.520242-05 | stns.2.appz.presets.2.canTune          | 0                                |   4195155 |        |                        | t    |            |                              |     2 |         6 | {}
  6331 | 2011-07-18 09:11:24.520242-05 | stns.2.appz.presets.2.name             | Cover                            |   4195155 |        |                        | t    |            |                              |     2 |         0 | {id21e_kvs}
  6337 | 2011-07-18 09:11:24.520242-05 | stns.2.appz.presets.2.position         | 2.001                            |   4195155 |        |                        | t    |            |                              |     2 |         6 | {id21e_kvs}
  6358 | 2011-07-18 09:11:24.520242-05 | stns.2.appz.presets.length             | 3                                |   4195155 |        |                        | t    |            |                              |     2 |         1 | {}
  6475 | 2011-07-18 09:11:24.520242-05 | stns.2.appz.printPrecision             | 4                                |   4195155 |        |                        | t    |            |                              |     2 |         1 | 
  6228 | 2011-07-18 09:11:24.520242-05 | stns.2.appz.smallStep                  | 0.002                            |   4195155 |        |                        | t    |            |                              |     2 |         6 | 
  6446 | 2011-06-22 14:54:59.3601-05   | stns.2.att.foils.length                | 8                                |   4195155 |        |                        | t    |            |                              |     2 |         1 | 
  6636 | 2011-06-28 15:06:52.700863-05 | stns.2.att.printPrecision              | 2                                |   4369772 |        |                        | t    |            |                              |     2 |         1 | 
  8365 | 2012-11-27 16:25:04.481615-06 | stns.2.backLight                       | 0.000                            | 101263911 |        |                        | t    |            |                              |     2 |         0 | 
  6561 | 2011-07-20 12:42:07.581085-05 | stns.2.backLight.canHome               | false                            |   9330118 |        |                        | t    |            |                              |     2 |         3 | 
  7277 | 2011-07-18 09:11:24.520242-05 | stns.2.backLight.canMove               | true                             |   5493676 |        |                        | t    |            |                              |     2 |         3 | 
  6559 | 2011-07-20 12:42:07.581085-05 | stns.2.backLight.canStop               | false                            |   9330118 |        |                        | t    |            |                              |     2 |         3 | 
  6224 | 2012-11-27 09:42:32.413964-06 | stns.2.backLight.factor                | 100.000                          | 101257659 |        |                        | t    |            |                              |     2 |         1 | 
  7567 | 2011-07-20 12:21:40.926496-05 | stns.2.backLight.inPosition            | true                             |   9327154 |        |                        | t    |            |                              |     2 |         3 | 
  8341 | 2012-11-27 16:25:04.981647-06 | stns.2.backLight.intensity             | 0.000                            | 101263912 |        |                        | t    |            |                              |     2 |         0 | 
  6255 | 2011-07-18 09:11:24.520242-05 | stns.2.backLight.name                  | Back Light                       |   4195155 |        |                        | t    |            |                              |     2 |         0 | 
  6215 | 2012-11-27 16:25:04.481615-06 | stns.2.backLight.position              | 0                                | 101263911 |        |                        | t    |            | moveAbs backLight            |     2 |         6 | 
  6296 | 2011-07-18 09:11:24.520242-05 | stns.2.backLight.presets.0.name        | On                               |   4195155 |        |                        | t    |            |                              |     2 |         0 | {id21e_kvs}
  6327 | 2011-07-18 09:11:24.520242-05 | stns.2.backLight.presets.0.position    | 1                                |   4195155 |        |                        | t    |            |                              |     2 |         1 | {id21e_kvs}
  6261 | 2011-07-18 09:11:24.520242-05 | stns.2.backLight.presets.1.name        | Off                              |   4195155 |        |                        | t    |            |                              |     2 |         0 | {id21e_kvs}
  6248 | 2011-07-18 09:11:24.520242-05 | stns.2.backLight.presets.1.position    | 0                                |   4195155 |        |                        | t    |            |                              |     2 |         1 | {id21e_kvs}
  6318 | 2011-07-18 09:11:24.520242-05 | stns.2.backLight.presets.length        | 2                                |   4195155 |        |                        | t    |            |                              |     2 |         1 | {}
  6471 | 2011-07-18 09:11:24.520242-05 | stns.2.backLight.printPrecision        | 0                                |   4195155 |        |                        | t    |            |                              |     2 |         1 | 
  6379 | 2011-06-22 17:16:42.114654-05 | stns.2.backLight.zoom                  | 6                                |   4195155 |        |                        | t    |            |                              |     2 |         0 | 
  7291 | 2011-07-07 14:18:55.487074-05 | stns.2.beam.graph.length               |                                  |         1 |        |                        | t    |            |                              |     2 |         1 | 
  7311 | 2011-07-07 14:21:58.050157-05 | stns.2.beam.graph.start                |                                  |         1 |        |                        | t    |            |                              |     2 |         0 | 
  7299 | 2011-07-07 14:19:57.110172-05 | stns.2.beam.graph.xmax                 |                                  |         1 |        |                        | t    |            |                              |     2 |         6 | 
  7295 | 2011-07-07 14:19:27.400114-05 | stns.2.beam.graph.xmin                 |                                  |         1 |        |                        | t    |            |                              |     2 |         6 | 
  7307 | 2011-07-07 14:21:03.360781-05 | stns.2.beam.graph.ymax                 |                                  |         1 |        |                        | t    |            |                              |     2 |         6 | 
  7303 | 2011-07-07 14:20:33.320818-05 | stns.2.beam.graph.ymin                 |                                  |         1 |        |                        | t    |            |                              |     2 |         6 | 
  7287 | 2011-07-07 14:18:09.040158-05 | stns.2.beam.ni0                        |                                  |         1 |        |                        | t    |            |                              |     2 |         6 | 
